Sentence,processed_text,Sentiment
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",cohen steers shares representing share capital voting rights,neutral
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,staff recruited japan complement network close service locations countries worldwide,positive
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper companies negative territories stora enso r shedding pct eur pct eur b pct lower eur,neutral
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,centralized administration dissolved appropriate parts transferred operating activities group administration end year,neutral
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,operating profit quarter amounted sales bn,neutral
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,atria chose delight attract consumers age group atria fresh range microwaveable meals,neutral
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",finnish solutions provider affecto oyj hel said today slipped net loss eur usd second quarter profit eur corresponding period year earlier,neutral
US sanctions put Gazprom-Shell alliance plans in jeopardy,us sanctions put alliance plans jeopardy,negative
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",profit period eur mn eur mn,neutral
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",profit period eur mn eur mn,positive
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,operating profit fell eur mn eur mn second quarter,neutral
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",however sales returned growth ceo pekka eloholma said,positive
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,operating profit totaled eur mn net sales,neutral
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,negative
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",connection deal digia employ persons nokia oslo silicon valley usa,neutral
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",brazilian unit finnish security solutions provider signed new clients last year online news source reseller web quoted division commercial director vladimir saying,positive
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,fair value company investment properties went eur billion end eur billion year earlier,neutral
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",dealers said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volumes tanker rates,negative
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",testament quality lte solution commitment japanese market added,neutral
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,companies aim finalize negotiations sign contracts start october,neutral
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",metso foundries jyvaskyla oy discontinue production line september company said,neutral
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",total six polled analysts rated two gave buy accumulate three gave hold one gave sell,neutral
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",september finnish group agreed buy danish company rose poultry combination cash stock,positive
$YANG Double bottom 5.2,yang double bottom,positive
Tesco share price down as grocer faces SFO investigation outcome,tesco share price grocer faces sfo investigation outcome,negative
$aapl news is becoming very bullish again http://stks.co/tMU,aapl news becoming bullish http,positive
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",gs engineering install valves liquefied natural gas lng plant built uae lng extraction gas plants operator gasco ruwais uae,neutral
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,percentages shares voting rights calculated proportion total number shares registered trade register total number voting rights related,neutral
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",said grounds rumors circulating market months,neutral
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",lember said matter topical also estonia bill drafted social affairs ministry would scrap pensions favorable conditions,neutral
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,moody said gave p senior unsecured p debt ratings finnish lender aktia bank bn euro note emtn program march,neutral
$TSLA recall,tsla recall,negative
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",liquidity providing interrupted may aspocomp group oyj shares traded cent aspocomp stock exchange release,neutral
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,hargreaves lansdown bucks weak markets see assets rise percent,positive
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",pm omx helsinki index pct lower,negative
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",decision means temporary fixed duration company nastola jyvaskyla units southern central finland respectively,neutral
The value of the orders is over EUR 10mn .,value orders eur,neutral
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,ms laakso responsible hkscan hr functions development group smarket areas,neutral
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",fiskars also engaged global supply marine energy equipment solutions services associated company wartsila corporation,neutral
Aberdeen Asset Management Gains Foothold In China,aberdeen asset management gains foothold china,positive
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,finland dominating rail company vr planning set infected passengers trip separate carriage,neutral
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",november finnish government decreased ownership company percent percent,neutral
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter eur mn eur mn corresponding period,neutral
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",bavelloni nst joint ventures bavelloni tools completes semiproducts produced italy tools sold diapol brand,neutral
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,tool patent pending design allows consumers lay entire project removable plate using multiple clear stamps kind,neutral
$GOOGL is a short below 740 into the upper BB and is overbought,googl short upper bb overbought,negative
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",lights curfew curl latest bestseller treat eyes perfect reading light luceplan,neutral
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",world largest maker magazine paper tuesday reported profit drop lower paper prices higher costs strong euro hurt revenue,negative
The total value of the contract is some EUR 8 million .,total value contract eur million,neutral
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum,neutral
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,doring eaton since acted business unit manager eaton power controls business unit since january,neutral
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capitals,positive
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",financial statement first quarter tikkurila reported discontinued operations,neutral
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit period surged million us million us per share million per share previous year,positive
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication adate filing application date,neutral
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,netflix grows efforts create loyal customers nflx https,positive
"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",omx nordic index comprising traded nordic stocks nasdaq omx exchange closed points thursday,negative
$AAPL nibbling on a small long via 525.. buying off 13min charts..,aapl nibbling small long via buying charts,positive
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,operating margin aker yards cruise ferries division went first quarter,negative
"$TYC just about to break out to new highs, lots of technicals looking great right now.",tyc break new highs lots technicals looking great right,positive
"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",eero katajavuori currently group vice president human resources take sabbatical starting october,neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",whats lulu numbers looked good great good think conference call instill confidence,neutral
The adjustment measures will be carried out in phases to secure the delivery capability .,adjustment measures carried phases secure delivery capability,neutral
"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",alma media corporation press release march tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local papers tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipalities bought suomen paikallissanomat oy,neutral
"Temporary lay-offs , affecting the entire workforce , will also be implemented .",temporary affecting entire workforce also implemented,negative
"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",meeting media analysts held day stonesoft headquarters helsinki italahdenkatu interim report presented stonesoft ceo ilkka hiidenheimo,neutral
"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",finnish manufactures approximately seven forest machines monthly half machines exported,neutral
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",facebook near buy point last week faces different technical test today https fb aapl nflx https,positive
"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",february finnish broadband data communication systems provider teleste oyj hel said wednesday net profit rocketed lifted dividend proposal,positive
$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,free ha heeeeeere comes pump glad picked end day get ready bull ride,positive
"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",finnish technology group aspocomp group oyj omx helsinki issued third quarter report thursday november posting operating profit compared loss third quarter,positive
"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",building complex consists office retail space totalling square metres company said,neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,finnish insurance company fennia kesko group ending loyal customer cooperation,neutral
The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,unit planned operational second half full stream,neutral
"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",itg share deal estimated euro,neutral
The plant is expected to enter commercial operation by mid-2009 .,plant expected enter commercial operation,neutral
Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,aspo also investigated sales opportunities kaukomarkkinat electronics business,neutral
BG Group appoints new CEO one month early,bg group appoints new ceo one month early,neutral
The acquisition will have an immediate positive impact on Aspocomp 's financial result .,acquisition immediate positive impact aspocomp financial result,positive
"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",finnair passenger load factor measures number sold seats share available seats dropped percentage points september,negative
RT @bman1 $LNG looks primed also $EGHT poised to run too...,rt lng looks primed also eght poised run,positive
It is also 7.7 pct above the 12-month volume weighted average price of the stock .,also pct volume weighted average price stock,positive
Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,coke dividend google dividend passive income coke takes goog ko https,neutral
"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",profit taxes eur mn eur mn year earlier,positive
The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,subsidiary setting facility manufacturing interconnection printed circuit boards pcbs nokia special economic zone sriperumbudur near chennai,neutral
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,crm sep calls since entry bang http,positive
"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",diluted loss per share stood versus first half,negative
Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,rapala said estimates make savings mln eur year centralising french operations one site,positive
$VMW  Got a nice push today following small sweepers of May C this morning,vmw got nice push today following small sweepers may c morning,positive
That topped consensus forecasts for earnings of 0.21 euros a share .,topped consensus forecasts earnings euros share,positive
R&D Loan ) .,r loan,neutral
"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",future company intends look outside company cooperate actors sector,positive
"You need to be ready when the window opens up , Rosberg said .",need ready window opens rosberg said,neutral
"More than 50,000 tonnes of asphalt mix will be used in the contract .",tonnes asphalt mix used contract,neutral
"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",pa jpmorgan chase co nyse jpm pohjoa bank joint senior unsecured deal,neutral
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,ctrp breaking good vol parser buy signal noticed bob langs comments looking fast,positive
"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",sales finland decreased january sales outside finland dropped,neutral
"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",pulp production finnish also liquidated employees loose jobs,negative
Nordea was the cheapest also for a couple in their 30s with debt .,nordea cheapest also couple debt,neutral
"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",jussi pesonen member sampo board since renounce seat sampo board,neutral
"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",tesla recalling model x cars https tsla,negative
"Adjusted for changes in the Group structure , the Division 's net sales increased by 1.7 % .",adjusted changes group structure division net sales increased,positive
"Making matters more difficult , the company said it has been grappling with higher oil and gas prices , which have pushed up the cost of energy , raw materials and transportation .",making matters difficult company said grappling higher oil gas prices pushed cost energy raw materials transportation,neutral
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,amending proposal simplifies proposed plan increases incentive key employees stay company,positive
The solution will now be expanded to include all ground staff tasks .,solution expanded include ground staff tasks,neutral
"Operating loss totalled EUR 3.2 mn , compared to a profit of EUR 7.2 mn in the third quarter of 2008 .",operating loss totalled eur mn compared profit eur mn third quarter,negative
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",fedday looking sharp move equities aapl hd low fb seeing uvxy tvix getting hammered even though market,positive
"Net sales totaled EUR 93.6 mn , up from EUR 93.2 mn in the corresponding period in 2005 .",net sales totaled eur mn eur mn corresponding period,positive
As a consequence the Works Council had withdrawn its petition to suspend the reorganisation .,consequence works council withdrawn petition suspend reorganisation,neutral
CEO Erkki J+ñrvinen is happy with the company 's performance in 2010 .,ceo erkki happy company performance,positive
"Comparable net sales are expected to increase more than 10 % in 2008 , in line with group target .",comparable net sales expected increase line group target,positive
"Following the transaction , Lundbeck has worldwide rights for nalmefene , excluding North America , Mexico , Turkey and South-Korea .",following transaction lundbeck worldwide rights nalmefene excluding north america mexico turkey,positive
"The government started the sell-off last month , putting an 8 percent stake in TeliaSonera on the auction bloc .",government started last month putting percent stake teliasonera auction bloc,neutral
"The report goes on to provide detailed profiles of ten leading European specialty chemicals companies , and brief profiles of other major players .",report goes provide detailed profiles ten leading european specialty chemicals companies brief profiles major players,neutral
"Both operating profit and net sales for the three-month period increased , respectively from EUR16 .0 m and EUR139m , as compared to the corresponding quarter in 2006 .",operating profit net sales period increased respectively compared corresponding quarter,positive
The company expects its net sales for the whole 2009 to be at previous year levels .,company expects net sales whole previous year levels,neutral
"The company is headquartered in Sievi , Finland , and is listed on the Nordic Exchange in Helsinki .",company headquartered sievi finland listed nordic exchange helsinki,neutral
"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",commission income increased eur mn lending volume rose,positive
"The Finnish company sold its UK operation - consisting of 50 staff in offices in London , Birmingham and Manchester - as part of a deal with Hampden in July 2001 for its European-wide property and casualty arm Sampo Industrial .",finnish company sold uk operation consisting staff offices london birmingham manchester part deal hampden july property casualty arm sampo industrial,neutral
"In the building and home improvement trade , sales decreased by 22.5 % to EUR 201.4 mn .",building home improvement trade sales decreased eur mn,negative
