source,text,processed_text,year,sentiment
kaggle,"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",stockmann swedish sector company ab lindex entered agreement september 2007 whereby stockmann subsidiary make public tender offer lindex issued shares,2007.0,positive
kaggle,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",huhtamaki oyj stock exchange release huhtamaki capital markets day institutional investors analysts held espoo september 2008 starting pm finnish time,2008.0,neutral
kaggle,`` We are pleased to welcome Tapeks Noma into Cramo group .,pleased welcome tapeks noma cramo group,,positive
kaggle,- Profit before taxes was EUR 105.9 82.7 million .,profit taxes eur million,,neutral
kaggle,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,royal dutch shell buy bg group nearly billion,,positive
kaggle,"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",financialwire tm press release service receives compensation news opinions distributions,,neutral
kaggle,ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,assa abloy kaupthing bank gave neutral recommendation share price target crowns euro swedish lock maker assa abloy ab,,neutral
kaggle,"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",item included restructuring costs year earlier diluted eps stood versus loss per share eur,,positive
kaggle,In 2005 the bank posted a net profit of Lt 8.2 mn .,2005 bank posted net profit lt mn,2005.0,neutral
kaggle,$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,aapl afternoon selloff usual brutal get ready lose ton money,,negative
kaggle,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,tsla recalling pretty much every single model x cnnbrk got short even work jump money trade,,negative
kaggle,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",dolce gabbana asked european union declare marimekko corporation unikko floral pattern trademark invalid continuing dispute two companies,,negative
kaggle,InterContinental Hotels first-quarter global room revenue lags estimates,intercontinental hotels global room revenue lags estimates,,negative
kaggle,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",according finnish pension insurance company varma varma recipient two thirds revenue pension cover competitive tendering finland,,positive
kaggle,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",portion million recorded part winnings prior patent dispute finnish phone maker nokia oyj,,positive
kaggle,"L&G still paying price for dividend cut during crisis, chief says",l g still paying price dividend cut crisis chief says,,negative
kaggle,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,volume investments two phases project estimated usd eur mn,,neutral
kaggle,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",russia accounted lagardere magazine division revenue eur mn usd mn 2009 usa,2009.0,neutral
kaggle,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,company also estimates already carried investments lead increase net sales 2010 2009 reached eur million,2010.0,positive
kaggle,Profit of the accounting period was EUR 0.3 mn .,profit accounting period eur mn,,neutral
kaggle,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",six breweries recorded percent growth domestic beer sales last year million liters million liters sold 2005,2005.0,positive
kaggle,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",2010 company result taxes totalled eur mn eur mn corresponding period 2009,2010.0,positive
kaggle,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",systeemitiimi sales project resources also strengthened director paul skogberg said,,positive
kaggle,Tesco share price jumps as Q3 sales top estimates,tesco share price jumps sales top estimates,,positive
kaggle,The fine print is here .,fine print,,neutral
kaggle,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,price logs clearly improved 2009 also price pulpwood gone,2009.0,positive
kaggle,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",thus sysopen digia accordance chapter section finnish companies act obtained title shares sentera redeemed,,neutral
kaggle,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,diluted earnings per share eps fell eur eur,,neutral
kaggle,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",eastern time block contracts changed hands bid price,,neutral
kaggle,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",recent technology deliveries include refinery technology anrak aluminium iron ore pelletizing plant tata steel iron ore sintering plants bhushan steel,,neutral
kaggle,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,vips similar pattern like beginning may u sell go much higher drop,,positive
kaggle,The firm generated sales of 187 mln eur in 2005 .,firm generated sales mln eur 2005,2005.0,neutral
kaggle,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",stora enso also meetings labor authorities employment economic development centres representatives government order find solutions,,neutral
kaggle,AstraZeneca profit down as sales of stalwarts fade,astrazeneca profit sales stalwarts fade,,negative
kaggle,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",rt andrewnyquist chartology yahoo http yhoo crazy looking chart nearing breakout resistance line,,positive
kaggle,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,bullish stocks twitter dip yhoo gdx googl stz gold ew vz celg sbux scty https,,positive
kaggle,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",finnish geosentric net sales decreased eur 2009,2009.0,negative
kaggle,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",cohen steers shares representing share capital voting rights,,neutral
kaggle,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,staff recruited japan complement network close service locations countries worldwide,,positive
kaggle,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",paper companies negative territories stora enso r shedding pct eur pct eur b pct lower eur,,neutral
kaggle,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,centralized administration dissolved appropriate parts transferred operating activities group administration end year,,neutral
kaggle,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,operating profit quarter 2006 amounted sales bn,2006.0,neutral
kaggle,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,atria chose delight attract consumers age group atria fresh range microwaveable meals,,neutral
kaggle,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",finnish solutions provider affecto oyj hel said today slipped net loss eur usd second quarter 2010 profit eur corresponding period year earlier,2010.0,neutral
kaggle,US sanctions put Gazprom-Shell alliance plans in jeopardy,us sanctions put alliance plans jeopardy,,negative
kaggle,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",profit period eur mn eur mn 2009,2009.0,neutral
kaggle,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",profit period eur mn eur mn,,positive
kaggle,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,operating profit fell eur mn eur mn second quarter 2008,2008.0,neutral
kaggle,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",however sales returned growth 2010 ceo pekka eloholma said,2010.0,positive
kaggle,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,operating profit totaled eur mn net sales,,neutral
kaggle,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",changes market situation tougher price competition substantially reduced demand bread packaging manufactured kauhava plant according company,,negative
kaggle,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",connection deal digia employ persons nokia oslo silicon valley usa,,neutral
kaggle,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",brazilian unit finnish security solutions provider signed new clients last year online news source reseller web quoted division commercial director vladimir saying,,positive
kaggle,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,fair value company investment properties went eur billion end 2009 eur billion year earlier,2009.0,neutral
kaggle,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",dealers said share largely hit investor disappointment refining margin usd per barrel quarter performance shipping unit saw ebit drop mln eur mln eur year amid fall volumes tanker rates,,negative
kaggle,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",testament quality lte solution commitment japanese market added,,neutral
kaggle,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,companies aim finalize negotiations sign contracts start october 2008,2008.0,neutral
kaggle,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",metso foundries jyvaskyla oy discontinue production line september 2008 company said,2008.0,neutral
kaggle,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",total six polled analysts rated two gave buy accumulate three gave hold one gave sell,,neutral
kaggle,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",september 2010 finnish group agreed buy danish company rose poultry combination cash stock,2010.0,positive
kaggle,$YANG Double bottom 5.2,yang double bottom,,positive
kaggle,Tesco share price down as grocer faces SFO investigation outcome,tesco share price grocer faces sfo investigation outcome,,negative
kaggle,$aapl news is becoming very bullish again http://stks.co/tMU,aapl news becoming bullish http,,positive
kaggle,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",gs engineering install valves liquefied natural gas lng plant built uae lng extraction gas plants operator gasco ruwais uae,,neutral
kaggle,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,percentages shares voting rights calculated proportion total number shares registered trade register total number voting rights related,,neutral
kaggle,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",said grounds rumors circulating market months,,neutral
kaggle,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",lember said matter topical also estonia bill drafted social affairs ministry would scrap pensions favorable conditions,,neutral
kaggle,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,moody said gave p senior unsecured p debt ratings finnish lender aktia bank bn euro note emtn program march 2011,2011.0,neutral
kaggle,$TSLA recall,tsla recall,,negative
kaggle,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",liquidity providing interrupted may 2007 aspocomp group oyj shares traded cent aspocomp stock exchange release,2007.0,neutral
kaggle,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,hargreaves lansdown bucks weak markets see assets rise percent,,positive
kaggle,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",pm omx helsinki index pct lower,,negative
kaggle,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",decision means temporary fixed duration company nastola jyvaskyla units southern central finland respectively,,neutral
kaggle,The value of the orders is over EUR 10mn .,value orders eur,,neutral
kaggle,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,ms laakso responsible hkscan hr functions development group smarket areas,,neutral
kaggle,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",fiskars also engaged global supply marine energy equipment solutions services associated company wartsila corporation,,neutral
kaggle,Aberdeen Asset Management Gains Foothold In China,aberdeen asset management gains foothold china,,positive
kaggle,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,finland dominating rail company vr planning set infected passengers trip separate carriage,,neutral
kaggle,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",november finnish government decreased ownership company percent percent,,neutral
kaggle,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",finnish exel composites technology company designs manufactures markets composite profiles tubes various industrial applications reports net sales decreased second quarter 2010 eur mn eur mn corresponding period 2009,2010.0,neutral
kaggle,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",bavelloni nst joint ventures bavelloni tools completes semiproducts produced italy tools sold diapol brand,,neutral
kaggle,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,tool patent pending design allows consumers lay entire project removable plate using multiple clear stamps kind,,neutral
kaggle,$GOOGL is a short below 740 into the upper BB and is overbought,googl short upper bb overbought,,negative
kaggle,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",lights curfew curl latest bestseller treat eyes perfect reading light luceplan,,neutral
kaggle,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",world largest maker magazine paper tuesday reported profit drop lower paper prices higher costs strong euro hurt revenue,,negative
kaggle,The total value of the contract is some EUR 8 million .,total value contract eur million,,neutral
kaggle,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",prerequisite inclusion program receipt gains key employees acquire aspo shares amount determined board advance maximum,,neutral
kaggle,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,doring eaton since 1989 acted business unit manager eaton power controls business unit since january 2007,1989.0,neutral
kaggle,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",sq sq ft store copenhagen premier shopping district inaugurated today strengthening company presence nordic capitals,,positive
kaggle,"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",financial statement first quarter 2010 tikkurila reported discontinued operations,2010.0,neutral
kaggle,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",world second largest stainless steel maker said net profit period surged million us million us per share million per share previous year,,positive
kaggle,"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009",name applicant jot automation oyname inventor mammila tuomo piirainen mika kellokoski mikaapplication adate filing application date,,neutral
kaggle,Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,netflix grows efforts create loyal customers nflx https,,positive
kaggle,"The OMX Nordic 40 OMXN40 index , comprising the 40 most traded Nordic stocks on the Nasdaq OMX exchange , closed down 0.87 % at 1,064.14 points on Thursday .",omx nordic index comprising traded nordic stocks nasdaq omx exchange closed points thursday,,negative
kaggle,$AAPL nibbling on a small long via 525.. buying off 13min charts..,aapl nibbling small long via buying charts,,positive
kaggle,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,operating margin aker yards cruise ferries division went first quarter 2007,2007.0,negative
kaggle,"$TYC just about to break out to new highs, lots of technicals looking great right now.",tyc break new highs lots technicals looking great right,,positive
kaggle,"Eero Katajavuori , currently Group Vice President , Human Resources , will take a year-long sabbatical starting from October 1 , 2010 .",eero katajavuori currently group vice president human resources take sabbatical starting october 2010,2010.0,neutral
kaggle,"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.",whats lulu numbers looked good great good think conference call instill confidence,,neutral
kaggle,The adjustment measures will be carried out in phases to secure the delivery capability .,adjustment measures carried phases secure delivery capability,,neutral
kaggle,"Alma Media Corporation Press Release 15 March 2010 TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers , Tyrvaan Sanomat and Paikallissanomat , appearing in Sastamala and its neighbouring municipalities , are to be bought by Suomen Paikallissanomat Oy .",alma media corporation press release march 2010 tyrvaan sanomat paikallissanomat bought suomen paikallissanomat two local papers tyrvaan sanomat paikallissanomat appearing sastamala neighbouring municipalities bought suomen paikallissanomat oy,2010.0,neutral
kaggle,"Temporary lay-offs , affecting the entire workforce , will also be implemented .",temporary affecting entire workforce also implemented,,negative
kaggle,"A meeting for the media and analysts will be held on the same day at 10:30 a.m. at Stonesoft Headquarters in Helsinki , Italahdenkatu 22 A. The Interim report will be presented by Stonesoft 's CEO Ilkka Hiidenheimo .",meeting media analysts held day stonesoft headquarters helsinki italahdenkatu interim report presented stonesoft ceo ilkka hiidenheimo,,neutral
kaggle,"Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly , and about half of machines are exported .",finnish manufactures approximately seven forest machines monthly half machines exported,,neutral
kaggle,"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",facebook near buy point last week faces different technical test today https fb aapl nflx https,,positive
kaggle,"4 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said Wednesday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .",february 2011 finnish broadband data communication systems provider teleste oyj hel said wednesday net profit rocketed 2010 2009 lifted dividend proposal,2011.0,positive
kaggle,$FREE Ha Heeeeeere comes the pump! So glad I picked up 9K end of day! Get ready for the bull ride!,free ha heeeeeere comes pump glad picked end day get ready bull ride,,positive
kaggle,"Finnish technology group Aspocomp Group Oyj ( OMX Helsinki : ACG1V ) issued its third quarter report on Thursday ( 13 November ) , posting an operating profit of EUR0 .4 m , as compared to a loss of EUR0 .5 m in the third quarter of 2007 .",finnish technology group aspocomp group oyj omx helsinki issued third quarter report thursday november posting operating profit compared loss third quarter 2007,2007.0,positive
kaggle,"The building complex consists of high-quality office and retail space totalling 49,200 square metres , the company said .",building complex consists office retail space totalling square metres company said,,neutral
kaggle,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation .,finnish insurance company fennia kesko group ending loyal customer cooperation,,neutral
kaggle,The unit is planned to be operational during the second half of 2007 and in full stream in 2008 .,unit planned operational second half 2007 full stream 2008,2007.0,neutral
kaggle,"ITG 's share in the deal is estimated at some 500,000 euro $ 627,000 .",itg share deal estimated euro,,neutral
kaggle,The plant is expected to enter commercial operation by mid-2009 .,plant expected enter commercial operation,,neutral
kaggle,Aspo has also investigated the sales opportunities of Kaukomarkkinat 's electronics business .,aspo also investigated sales opportunities kaukomarkkinat electronics business,,neutral
kaggle,BG Group appoints new CEO one month early,bg group appoints new ceo one month early,,neutral
kaggle,The acquisition will have an immediate positive impact on Aspocomp 's financial result .,acquisition immediate positive impact aspocomp financial result,,positive
kaggle,"Finnair 's passenger load factor , which measures the number of sold seats as a share of all available seats , dropped by 1.3 percentage points to 76.7 % in September .",finnair passenger load factor measures number sold seats share available seats dropped percentage points september,,negative
kaggle,RT @bman1 $LNG looks primed also $EGHT poised to run too...,rt lng looks primed also eght poised run,,positive
kaggle,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,also pct volume weighted average price stock,,positive
kaggle,Coke dividend - 3%. Google dividend - 0%. For passive income Coke takes it. $GOOG $KO https://t.co/QBsoWjxOST,coke dividend google dividend passive income coke takes goog ko https,,neutral
kaggle,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",profit taxes eur mn eur mn year earlier,,positive
kaggle,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,subsidiary setting facility manufacturing interconnection printed circuit boards pcbs nokia special economic zone sriperumbudur near chennai,,neutral
kaggle,$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,crm sep calls since entry bang http,,positive
kaggle,"In January-June 2010 , diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 .",2010 diluted loss per share stood versus first half 2009,2010.0,negative
kaggle,Rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its French operations at one site .,rapala said estimates make savings mln eur year centralising french operations one site,,positive
kaggle,$VMW  Got a nice push today following small sweepers of May C this morning,vmw got nice push today following small sweepers may c morning,,positive
kaggle,That topped consensus forecasts for earnings of 0.21 euros a share .,topped consensus forecasts earnings euros share,,positive
kaggle,R&D Loan ) .,r loan,,neutral
kaggle,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",future company intends look outside company cooperate actors sector,,positive
kaggle,"You need to be ready when the window opens up , Rosberg said .",need ready window opens rosberg said,,neutral
kaggle,"More than 50,000 tonnes of asphalt mix will be used in the contract .",tonnes asphalt mix used contract,,neutral
kaggle,"PA ) , JPMorgan Chase and Co ( NYSE : JPM ) and Pohjoa Bank are joint lead-managers on the senior , unsecured deal .",pa jpmorgan chase co nyse jpm pohjoa bank joint senior unsecured deal,,neutral
kaggle,$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,ctrp breaking good vol parser buy signal noticed bob langs comments looking fast,,positive
kaggle,"Sales in Finland decreased by 10.5 % in January , while sales outside Finland dropped by 17 % .",sales finland decreased january sales outside finland dropped,,neutral
kaggle,"The pulp production in Finnish Kemij+ñrvi will also be liquidated and about 1,100 employees loose their jobs .",pulp production finnish also liquidated employees loose jobs,,negative
kaggle,Nordea was the cheapest also for a couple in their 30s with debt .,nordea cheapest also couple debt,,neutral
kaggle,"Jussi Pesonen , member of the Sampo Board since 2006 , will renounce his seat in Sampo Board .",jussi pesonen member sampo board since 2006 renounce seat sampo board,2006.0,neutral
kaggle,"Tesla is recalling 2,700 Model X cars: https://t.co/8Z7BkVsTl9 $TSLA",tesla recalling model x cars https tsla,,negative
